조사지역,조사기관,1위 후보,1위 지지율(%),2위 후보,2위 지지율(%),격차(%p),링크,제목,본문내용
경기 광주시장,이너텍,박관열,44.9,방세환,41.6,3.3,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5085055&exception_mode=recommend&search_head=100&page=1,이너텍 : 경기 광주시장 박관열 44.9% 방세환 41.6%,"※ 이번 여론조사는 전국매일신문이 여론조사 전문기관 ㈜이너텍시스템즈에 의뢰해 지난 14~15일 이틀간 광주시에 거주하는 만 18세 이상 남녀 701명을 대상으로 실시했다. ARS 여론조사 시스템을 이용한 전화조사 방식으로 진행됐으며, 무선 가상번호 80%, 유선 RDD 20%를 활용했다. 표본오차는 95% 신뢰수준에서 ±3.7%포인트이며 응답률은 2.6%다. 2026년 4월 행정안전부 주민등록 인구 기준 성별·연령별·지역별 가중치(셀가중)를 적용했다. 기타 자세한 내용은 중앙선거여론조사심의위원회 홈페이지를 참조하면 된다."
장흥군수,코리아정보리서치,김성,46.7,사순문,45.1,1.6,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5082536&exception_mode=recommend&search_head=100&page=1,"코리아정보리서치: 장흥군수, 김성 46.7% 사순문 45.1%","○ 장흥군수 지지도 민주 김성 46.7% 조국 사순문 45.1% ○ 연령별 지지도 20대, 사순문 47.9% 김성 38.2% 30대, 김성 48.9% 사순문 42.2% 40대, 김성 53% 사순문 39.5% 50대, 김성 50% 사순문 39.5% ○장흥군 정당지지율 민주 68.3% 조혁 16.3% - dc official App"
전남 함평군수,KSOI,이남오,46.6,이윤행,44.4,2.2,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5082341&exception_mode=recommend&search_head=100&page=1,KSOI : 전남 함평군수 이남오 46.6% 이윤행 44.4%,"<프레시안>이 여론조사 전문업체 한국사회여론연구소(KSOI)에 의뢰해 지난 14~15일 전남 함평군 거주 만 18세 이상 남녀 505명에게 함평군수 후보 지지 여부를 물은 결과 민주당 이남오 후보가 46.6%를 기록했고, 조국혁신당 이윤행 후보가 44.4%를 기록했다. 두 후보 지지율 격차는 2.2%로 오차범위 안이다.이어 무소속 이행섭 후보는 3.3%였고, '그 외 인물' 0.9%, '없음' 1.5%, '잘 모름' 3.4%였다.정당지지도는 민주당이 63.7%, 조국혁신당이 18.5%, 국민의힘이 3.0%, 개혁신당이 4.1%, 진보당이 3.8%, '그외 정당/무소속'이 3.8%, '없음'이 1.2%, '잘 모름'이 1.9%였다.조사개요조사방법 : 구조화된 설문지를 이용한 자동응답(ARS)조사모집단 : 전남 함평군 거주 만 18세 이상 남녀표본수 : 505명피조사자선정방법 : 무선 ARS 자동응답 조사 (무선 100%) - 통신사 제공 휴대전화 가상번호 활용표본오차 : 95% 신뢰수준에서 ± 4.4%p응답률 : 14.8%가중값 산출 및 적용 : 성, 연령, 지역별 가중치 부여(셀가중) - 2026년 4월말 행정안전부 주민등록 인구 기준조사기간 : 2026년 5월 14일~ 5월 15일조사기관 : 한국사회여론연구소(KSOI)자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조."
강원 횡성군수,유앤미,장신상,39.2,임광식,32.7,6.5,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5081559&exception_mode=recommend&search_head=100&page=1,유앤미 : 강원 횡성군수 장신상 39.2 임광식 32.7 김명기 24.5,여론조사개요는 첨부된 사진에서 확인바람이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조
경북 안동시장,리얼미터,권기창,49.2,이삼걸,38.1,11.1,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5083920&exception_mode=recommend&search_head=100&page=1,리얼미터 : 경북 안동시장 이삼걸 38.1% 권기창 49.2%,"<오마이뉴스>가 여론조사 전문기관인 리얼미터에 의뢰해 지난 14일과 15일 양일간 안동에 거주하는 만18세 이상 성인 남녀 502명을 대상으로 한 조사 결과 권기창 후보가 49.2%를 기록해 이삼걸 후보(38.1%)와 11.1%P 격차를 보였다. 권 후보에 대한 지지는 70세 이상(57.9%)에서 두드러졌고, 이 후보에 대한 지지는 50대 이하 연령층과 남성(43.5%), 민주당 지지층(81.9%)에서 상대적으로 높았다. '기타 인물'은 4.4%, '없음'과 '모름'은 각각 4.1%와 4.2%로 조사됐다.그러나 이번 조사에서 나타난 정당 지지도가 국민의힘 55.0%, 민주당 29.0%인 점을 감안하면 민주당 이삼걸 후보가 정당 지지율을 뛰어넘는 경쟁력을 드러냈다고 볼 수 있다. 이 후보는 행정안전부 차관출신으로 2014년에는 무소속으로, 2018년에는 민주당으로 안동시장에 출마해 낙선한 바 있다.(중략)지지 정당을 묻는 질문에 국민의힘을 지지한다는 응답이 55.0%를 기록했고, 민주당(29.0%), 조국혁신당(2.7%), 개혁신당(2.2%), 진보당(1.1%) 등의 순이었다. 그 외 기타정당(2.0%), '없음'과 '잘 모름'은 각각 6.5%와 1.6%로 조사됐다.응답자 연령대별로는 70세 이상(69.7%)에서 국민의힘을 지지한다는 응답이 상대적으로 높았고, 민주당을 지지한다는 응답은 30대(38.8%)와 50대(38.6%)에서 상대적으로 높게 나왔다.이어 투표 의향을 묻는 설문에 89.0%가 '투표하겠다'고 답했고 그중 '반드시 투표하겠다'는 적극층이 62.4%로 나타나 전반적으로 투표 의지와 선거에 대한 관심도가 높은 것으로 조사됐다. 반면 '투표할 생각이 없다'는 응답은 9.9%, '잘 모름'은 1.1%였다.이번 조사는 구조화된 설문지를 이용한 전화자동응답(ARS) 방식으로 진행됐으며, 휴대전화 가상번호 100%를 사용했다. 응답률은 10.8%다. 2026년 4월 말 행정안전부 주민등록 인구통계를 기준으로 성별·연령별·권역별 가중값(림가중)을 부여했으며, 표본오차는 95% 신뢰수준에 ±4.4%포인트다. 자세한 내용은 중앙선거여론조사심의위원회 누리집을 참조하면 된다."
평택을 오차범위 접전,KBS 여조 종합,하남갑이광재,42.0,이용,31.0,11.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5081272&exception_mode=recommend&search_head=100&page=1,KBS 여조 종합: 평택을 오차범위 접전 하남갑이광재42% 이용31%,- dc official App
부산,KBS 여론조사 종합,전재수,42.0,박형준,33.0,9.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5081262&exception_mode=recommend&search_head=100&page=1,KBS 여론조사 종합 : 부산 전재수 42% 박형준 33% 부동층 22%,- dc official App
,KBS여론조사 종합,정원오,43.0,오세훈,32.0,11.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5081253&exception_mode=recommend&search_head=100&page=1,KBS여론조사 종합 : 정원오 43% 오세훈 32% … 강남3구 접전,< 조사개요①>조사 의뢰 / KBS조사 기관 / (주)한국리서치조사 일시 / 2026년 5월 11일~14일 (4일간)조사 대상 / 서울·부산 거주 만 18세 이상 남녀조사 방법 / 전화 면접 조사피조사자 선정방법 / 성·연령·지역으로 층화된 가상번호 내 무작위추출표본 수 / 서울·부산 각 800명응답률 / 서울 13.6% 부산 19.2%가중치 부여 방식 / 지역별·성별·연령별 가중치 부여셀가중 / 2026년 4월 말 행정안전부 발표 주민등록 인구 기준표본 오차 / 서울·부산 ±3.5%p (95% 신뢰수준)자세한 내용은 중앙선거여론조사심의위원회 또는 KBS 홈페이지에서 보실 수 있습니다.- dc official App
강원 춘천시장,한국리서치,육동한,50.7,정광열,25.0,25.7,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5080573&exception_mode=recommend&search_head=100&page=1,한국리서치 : 강원 춘천시장 육동한 50.7% 정광열 25%,"[KBS춘천 지방선거 여론조사(2차)] - 춘천·원주·강릉시장 선거 - ①조사의뢰: KBS춘천방송총국 ②조사기관: (주)한국리서치 ③조사일자: 2026.5.11~14(4일간) ④조사지역: -춘천:1권역(강남동 등), 2권역(동면 등) -원주:1권역(귀래면 등), 2권역(개운동 등) -강릉:1권역(강남동 등), 2권역(경포동 등) ⑤조사대상: 만 18살 이상 남녀 ⑥표본크기: 춘천·원주·강릉 각 600명 ⑦조사방법: 면접원에 의한 전화면접조사 ⑧피조사자 선정방법: 3개 통신사 제공 휴대전화 가상번호 100% 무작위 추출 ⑨가중치: 성·연령·지역별 가중치 (2026년 4월 말 행정안전부 주민등록인구) ⑩응답률: -춘천 22.6% -원주 20.8% -강릉 23.5% ⑪표본오차:신뢰수준 95%, 오차범위 ±4.0% ⑫질문내용: 춘천·원주·강릉시장 후보 지지도 등 ⑬기타 자세한 사항은 중앙선거여론조사심의위·KBS 홈페이지 참조[KBS춘천 춘천시민 지방선거 여론조사(1차)]의뢰: KBS춘천조사: (주)한국리서치기간: 4.30-5.1방법: 전화면접기타 중앙선거여론조사심의위 참조"
강원 강릉시장,한국리서치,김중남,42.0,김홍규,29.2,12.8,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5080591&exception_mode=recommend&search_head=100&page=1,한국리서치 : 강원 강릉시장 김중남 42% 김홍규 29.2%,"[KBS춘천 지방선거 여론조사(2차)]- 춘천·원주·강릉시장 선거 - ①조사의뢰: KBS춘천방송총국 ②조사기관: (주)한국리서치 ③조사일자: 2026.5.11~14(4일간) ④조사지역: -춘천:1권역(강남동 등), 2권역(동면 등) -원주:1권역(귀래면 등), 2권역(개운동 등) -강릉:1권역(강남동 등), 2권역(경포동 등) ⑤조사대상: 만 18살 이상 남녀 ⑥표본크기: 춘천·원주·강릉 각 600명 ⑦조사방법: 면접원에 의한 전화면접조사 ⑧피조사자 선정방법: 3개 통신사 제공 휴대전화 가상번호 100% 무작위 추출 ⑨가중치: 성·연령·지역별 가중치 (2026년 4월 말 행정안전부 주민등록인구) ⑩응답률: -춘천 22.6% -원주 20.8% -강릉 23.5% ⑪표본오차:신뢰수준 95%, 오차범위 ±4.0% ⑫질문내용: 춘천·원주·강릉시장 후보 지지도 등 ⑬기타 자세한 사항은 중앙선거여론조사심의위·KBS 홈페이지 참조 [KBS춘천 강릉시민 지방선거 여론조사(1차)] 의뢰: KBS춘천 조사: (주)한국리서치 기간: 5.1~5.2 방법: 전화면접 기타 중앙선거여론조사심의위 참조"
